h3_index,resolution,center_lat,center_lng,area_km2,is_pentagon,is_class_iii
89283082803ffff,9,37.773515097238146,-122.4182710369247,0.10940247351409498,False,True
8928308281bffff,9,37.772188519752255,-122.41468058748049,0.10940798664680453,False,True
8928308280bffff,9,37.7753758485188,-122.41486876560982,0.10940370195547992,False,True
8928308280fffff,9,37.776702349435695,-122.41845932318309,0.10939818864716178,False,True
89283082807ffff,9,37.77484152121918,-122.42186149457379,0.10939695977138443,False,True
89283082817ffff,9,37.771654262080546,-122.42167311151113,0.10940124402266332,False,True
89283082813ffff,9,37.770327761526175,-122.4180827619837,0.10940675758840357,False,True
892830828c7ffff,9,37.76900110747723,-122.41449242066217,0.10941227054293187,False,True
892830828cfffff,9,37.770861788765316,-122.41109014626946,0.10941349916801339,False,True
89283082857ffff,9,37.774049194090594,-122.4112782162687,0.10940921465442188,False,True
89283082847ffff,9,37.77723651589686,-122.41146629757358,0.10940492934576758,False,True
89283082873ffff,9,37.77856309376037,-122.41505695505123,0.10939941647107786,False,True
89283082877ffff,9,37.779889518102244,-122.41864762076004,0.10939390298483981,False,True
8928308283bffff,9,37.77802869683741,-122.42204988896036,0.10939267472664128,False,True
89283082833ffff,9,37.77616779169152,-122.42545196039973,0.10939144541872368,False,True
892830828abffff,9,37.772980609136496,-122.42526346921636,0.10939572984575846,False,True
892830828bbffff,9,37.76979334307161,-122.4250749893623,0.1094000134796318,False,True
8928308288fffff,9,37.76846691943803,-122.42148473977133,0.10940552747924426,False,True
8928308288bffff,9,37.76714034231634,-122.41789449835915,0.10941104086816435,False,True
892830828d7ffff,9,37.76581361171035,-122.41430426515387,0.10941655364540025,False,True
892830828c3ffff,9,37.76767429993756,-122.41090208757478,0.10941778288651527,False,True
892830828cbffff,9,37.769534904281166,-122.40749971331972,0.10941901107771686,False,True
89283082853ffff,9,37.77272238615487,-122.4076876751879,0.10941472674088684,False,True
89283082843ffff,9,37.775909784515555,-122.40787564835527,0.10941044161059625,False,True
8928308284fffff,9,37.77909709934666,-122.4080636328228,0.10940615568546737,False,True
8928308287bffff,9,37.780423754167565,-122.41165439018502,0.10940064324389392,False,True
89283082863ffff,9,37.78175025546038,-122.41524515580565,0.10939513019180541,False,True
89283082867ffff,9,37.78307660322128,-122.41883592965645,0.10938961652845391,False,True
8928308282bffff,9,37.78121578891869,-122.42223829467184,0.10938838888824554,False,True
89283082823ffff,9,37.77935489072015,-122.42564046291344,0.1093871601964564,False,True
89283082837ffff,9,37.77749390865136,-122.42904243437428,0.10938593045455698,False,True
892830828afffff,9,37.774306802690234,-122.42885383507121,0.10939021505884872,False,True
892830828a3ffff,9,37.77111961321327,-122.42866524710386,0.1093944988698306,False,True
892830828b3ffff,9,37.76793234023704,-122.42847667047128,0.10939878188637615,False,True
89283082887ffff,9,37.76660599351345,-122.42488652083654,0.1094042963186987,False,True
89283082883ffff,9,37.765279493308206,-122.42129637935341,0.10940981014125983,False,True
8928308289bffff,9,37.76395283962514,-122.41770624605003,0.109415323352866,False,True
