timestep,free_energy,timestamp
0,-0.7103191506309944,1770042968.4085052
1,-0.1369872330101023,1770042968.409436
2,-0.021920310147460098,1770042968.410322
3,-0.003498675845454269,1770042968.411223
4,-0.0005605704458657712,1770042968.41212
5,-8.95444857622607e-05,1770042969.108704
6,-1.4491410568417962e-05,1770042969.109764
7,-2.6821648031472023e-06,1770042969.110618
8,-8.585958539697458e-07,1770042969.1115022
9,-5.872546835483661e-07,1770042969.112579
10,-5.487939287451837e-07,1770042969.728035
11,-5.434705840912102e-07,1770042969.729095
12,-5.427374116795392e-07,1770042969.729967
13,-5.426365030647418e-07,1770042969.730819
14,-5.42622616839239e-07,1770042969.731709
15,-5.426207054792798e-07,1770042970.3533509
16,-5.426204425784675e-07,1770042970.354364
17,-5.426204061631523e-07,1770042970.3552818
18,-5.426204010561264e-07,1770042970.35633
19,-5.42620400167948e-07,1770042970.357294
